cauhoi,traloi
mua sản phẩm tại Shop có được đổi trả không?,"đối với các sản phẩm ĐTDĐ, MTB, MTXT, SMARTWATCH (Áp dụng bao gồm các sản phẩm Apple), sản phẩm cùng model, cùng màu, cùng dung lượng. Trong tình huống sản phẩm đổi hết hàng, khách hàng có thể đổi sang một sản phẩm khác tương đương hoặc cao hơn về giá trị so với sản phẩm lỗi."
Shop có chính sách giao hàng tận nhà không?,"Shop cam kết giao hàng toàn bộ 63 tỉnh thành, Shop nhận giao đơn hàng có thời gian hẹn giao tại nhà trước 20h00. Miễn phí giao hàng với các đơn hàng trong bán kính 20km có đặt shop (Với đơn hàng có giá trị nhỏ hơn 100.000đ sẽ thu phí 10.000đ) nhân viên Shop sẽ tư vấn chi tiết về cách thức giao nhận thuận tiện nhất."
"nếu điện thoại của tôi có vấn đề, tôi phải làm thế nào?","nếu điện thoại bạn có vấn đề, hãy đem ra shop gần nhất để nhân viên kỹ thuật tư vấn ạ."
hiện tại shop đang có những chương trình khuyến mãi nào?,"hiện tại, shop đang có chương trình khuyến mãi giờ vàng giá sốc, diễn ra từ 14h đến 16h hằng ngày."
tôi muốn tư vấn kỹ thuật thì tôi phải làm như thế nào để được shop shop hỗ trợ?,"để được hỗ trợ kỹ thuật, bạn hãy liên lạc số điện thoại 18006616 (Nhánh 2) để được tư vấn kỹ thuật."
tôi muốn mua hàng online thì tôi phải làm như thế nào?,bạn có thể truy cập trang web https://shop.com.vn/ để được hỗ trợ hoặc liên lạc số điện thoại 18006601 (Nhánh 1) để được tư vấn.
tôi là sinh viên năm nhất theo học tại hệ thống giáo dục Fpt nên khi mua hàng có khuyến mãi nào không?,"có ạ, tất cả các sinh viên năm nhất theo học tại hệ thống giáo dục Fpt sẽ được phiếu giảm giá 30% mua thiết bị học tập như Laptop tại shop trên toàn quốc."
"ngoài kinh doanh các thiết bị công nghệ điện tử, shop còn kinh doanh các mặt hàng nào không?","ngoài kinh doanh các thiết bị điện tử, shop còn kinh doanh các mặt hàng điện gia dụng và kinh doanh các dịch vụ tiện ích ạ."
"tôi có thể thanh toán tiền điện, nước tại shop không?","dạ được ạ, shop có thu hộ tiền điện, nước. Vui lòng ra shop để được tư vấn chi tiết."
"tôi cần mua Iphone 15 promax, bên hãng mình còn hàng không?",hiện tại Iphone 15 promax chưa về hàng ạ.
sản phẩm Airpod 2 còn hàng không ạ?,"hiện tại, sản phẩm Airpod 2 đang tạm thời hết hàng. Vui lòng quay lại sau."
sản phẩm Airpod 3 còn hàng không?,Airpod 3 đang còn hàng ở tất cả đại lý shop ạ.
tôi cần tìm điện thoại có giá từ 3 triệu đồng.,mời bạn truy cập vào trang web https://shop.com.vn/dien-thoai/tu-2-4-trieu?sort=ban-chay-nhat này để biết thêm thông tin chi tiết.
sản phẩm Tivi Xiaomi Mi TV P1 55 inch có giá bao nhiêu?,hiện tại Tivi Xiaomi Mi TV P1 55 inch đang có giá 7690000đ ạ.
khi mua sản phẩm của Apple thì có chương trình khuyến mãi không?,shop đang diễn ra sự kiện giảm giá 5% trên tất cả các sản phẩm điện thoại của Apple.
Iphone 14 plus đang có giá là bao nhiêu?,Iphone 14 plus đang có giá 21490000đ ạ.
Samsung A14 5g hiện tại đang có giá bao nhiêu?,"xin lỗi quý khách, bên shop không kinh doanh sản phẩm này."
kết thúc cuộc trò chuyện.,"cảm ơn quý khách, chúc quý khách 1 ngày tốt lành ạ."
hiện tại sản phẩm Samsung Galaxy Z Fold 4 còn không?,"hiện tại, sản phẩm Samsung Galaxy Z Fold4 hiện đang hết hàng ở tất cả các chi nhánh. Quý khách vui lòng chọn sản phẩm khác."
kết thúc cuộc trò chuyện.,Xin cảm ơn quý khách. Mong dịch vụ của chúng tôi khiến quý khách hài lòng.
Tôi không hài lòng về dịch vụ của bên bạn.,"Chúng tôi rất xin lỗi vì những thiếu sót bên chúng tôi, mong quý khách thông cảm."
ở đây có bản những loại sản phẩm nào?,"bên chúng tôi chủ yếu bán những sản phẩm điện tử như điện thoại, laptop, PC, máy tính bảng, đồng hồ thông minh,... và cả đồ gia dụng nữa."
tôi cần những linh kiện PC chuyên về đồ họa.,"hiện tại bên chúng tôi đang có rất nhiều linh kiện PC chuyên về đồ họa với nhiều mức giá khác nhau, quý khách có thể xem qua."
PC chuyên về đồ họa có mức giá dao động như thế nào?,"hiện tại giá thành của những PC về đồ họa có những mức giá dao động từ 10 triệu đến 35 triệu, có những mặt hàng chuyên dụng thì mức giá sẽ cao hơn nữa."
thông tin về PC Gaming E-Power G3 i3 12100F/8GB/256GB/500W/GeForce GTX 1650?,"đây là PC chuyên về đồ họa, hiệu năng vừa tốt lại có giá phải chăng,"
mình cần thông tin rõ hơn.,"quý khách vui lòng xem qua thông tin chi tiết tại đây để có cái nhìn tổng quan nhất về giá cả, hiệu năng cũng như chương trình giảm giá bên chúng tôi"
thông tin chi tiết về PC Gaming E-Power G5 i5 12400F/8GB/240GB/600W/GeForce GTX 1660S.,"đây là linh kiện PC chuyên về đồ họa với card Intel, Core I5, 12400F, 8GB RAM, NVIDIA GTX 1660 Super 6GB VRAM, hiện tại bên của hàng chúng tôi vẫn còn mặt hàng này, mời quý khách xem sản phẩm."
với mức giá 25 triệu thì tôi nên mua linh kiện PC đồ họa nào là tốt nhất?,"bên của hàng chúng tôi có rất nhiều loại về linh kiện đồ họa, với mức giá 25 triệu thì PC Gaming E-Power G3060 i7 12700F/16GB/500GB/750W/GeForce RTX 3060 theo bên chúng tôi là tốt nhất."
thông tin về PC Gaming E-Power G3060 i7 12700F/16GB/500GB/750W/GeForce RTX 3060.,"Intel, Core i7, 12700F, 16 GB (2 thanh 8 GB), DDR4, 3200 MHz, SSD 500 GB, NVIDIA GeForce RTX 3060 6GB. Quý khách có thể xem chi tiết hơn cũng như đang có chương trình khuyến mãi tại đây."
"tôi muốn mua lẻ linh kiện, phụ kiện máy tính.","bên chúng tôi hiện đang bán rất nhiều những phụ kiện cũng như linh kiện máy tính, quý khách muốn lựa chọn cho mình loại sản phẩm nào?"
tôi muốn mua mainboard.,"hiện tại bên cửa hàng chúng tôi đang có rất nhiều loại mainboard khác nhau với mức giá khác nhau, quý khách muốn tư vấn không ạ?"
tôi muốn mua CPU.,"hiện tại bên cửa hàng chúng tôi hiện đang có rất nhiều loại CPU khác nhau với những mức giá khác nhau, quý khách muốn tư vấn không ạ?"
tôi muốn VGA.,"hiện tại bên cửa hàng chúng tôi hiện đang có rất nhiều loại VGA khác nhau với những mức giá khác nhau, quý khách muốn tư vấn không ạ?"
ở đây có bán RAM lẻ không?,"hiện tại bên cửa hàng chúng tôi có bán lẻ RAM với nhiều loại và mức giá khác nhau, quý khách muốn tư vấn không ạ?"
ở đây màn hình như thế nào?,"hiện tại bên cửa hàng chúng tôi có rất nhiều mặt hàng khác nhau với mức giá khác nhau, quý khách muốn tư vấn không ạ?"
ở đây có bán tai nghe và chuột gaming không?,"hiện tại bên cửa hàng chúng tôi có rất nhiều phụ kiện chuột và tai nghe gaming với nhiều mức giá khác nhau, quý khách muốn tư vấn không ạ?"
tôi muốn mua những sản phẩm của Apple.,"hiện tại cửa hàng chúng tôi đang có rất nhiều mặt hàng của Apple, quý khách cụ thể muốn sản phẩm nào ạ?"
vậy cụ thể có những mặt hàng nào của Apple?,"hiện bên cửa hàng chúng tôi rất nhiều mặt hàng như cáp/sạc, ốp lưng, tai nghe, chuột, bàn phím,... để quý khách có thể lựa chọn."
tôi muốn mua Apple Watch.,"hiện tại bên cửa hàng chúng tôi đang có rất nhiều loại Apple Watch khác nhau, quý khách có muốn tư vấn không ạ?"
tôi muốn mua lại điện thoại cũ.,"hiện tại bên cửa hàng chúng tôi đang có rất nhiều sản phẩm, quý khách cụ thể muốn mua gì ạ?"
tôi muốn mua lại laptop cũ.,"hiện tại bên cửa hàng chúng tôi đang có rất nhiều như Macbook, Vevo, Asus,... với những mức giá khác nhau, quý khách có muốn được tư vấn không ạ?"
tôi muốn được tư vấn.,quý khách hiện đang có nhu cầu sử dụng thiết bị trong việc gì? kinh phí quý khách hiện có là bao nhiêu? Ngoài ra bên cửa hàng chúng tôi cũng sẽ cung cấp những chính sách ưu đãi cho quý khách.
tôi muốn mua đồ gia dụng bếp.,"hiện tại bên cửa hàng chúng tôi có rất nhiều mặt hàng như nồi cơm điện, nồi chiên không dầu, chảo chống dính, bếp từ,.... cho quý khách có thể lựa chọn cho mình."
tôi muốn mua máy hút mùi.,"hiện tại bên cửa hàng chúng tôi đang có rất nhiều mặt hàng với nhiều mức giá khác nhau, quý khách muốn được tư vấn không ạ?"
ở đây có bán camera an ninh không?,hiện tại bên cửa hàng chúng tôi có bán camera an ninh để quý khách có thể lựa chọn.
chảo inox chống dính hiện tại còn không?,"rất xin lỗi quý khách, hiện bên cửa hàng chúng tôi đã hết mặt hàng này rồi ạ, quý khách vui lòng chọn sản phẩm khác"
tôi muốn mua cục sạc dự phòng.,"hiện tại bên cửa hàng chúng tôi có rất nhiều loại sạc dự phòng, quý khách muốn được tư vấn không ạ?"
1 triệu thì tôi nên mua sạc dự phòng nào?,với kinh phí 1 triệu thì quý khách có thể cân nhắc mua pin sạc dự phòng Magsafe Innostyle PowerMag Slim QC 3.0/PD 20W 10000mAh.
tôi muốn mua thẻ nhớ.,"hiện tại bên cửa hàng chúng tôi có rất nhiều loại với dung lượng cũng như giá thành khác nhau, quý khách muốn được tư vấn không ạ?"
tôi muốn mua túi chống sốc.,"hiện tại bên cửa hàng chúng tôi có rất nhiều loại túi chống sốc với kích thước khác nhau cũng như cho nhiều loại thiết bị tương thích khác nhau, quý khách muốn được tư vấn không ạ?"
tôi muốn mua miếng dán màn hình điện thoại.,"hiện tại bên cửa hàng chúng tôi có rất nhiều loại miếng dán màn hình, quý khách hiện đang sử dụng điện thoại nào để chúng tôi có thể đưa ra lựa chọn tốt nhất cho quý khách."
ở đây có bán máy tính cầm tay không?,"hiện bên cửa hàng đang có rất nhiều mặt hàng này, từ máy tính văn phòng đến máy tính khoa học cho học sinh sinh viên để quý khách có thể lựa chọn."
tôi muốn mua loa.,"hiện bên cửa hàng đang có rất nhiều loại loa khác nhau, nổi bật là loa bluetooth, quý khách có muốn được tư vấn để biết thêm thông tin chi tiết không ạ?"
tôi muốn mua mực in.,hiện tại bên cửa hàng đang có những sản phẩm mực in khác nhau để quý khách có thể lựa chọn.
điện thoại Iphone 13 128gb giá bao nhiêu?,"theo chương trình khuyến mãi, Iphone 13 bản 128gb có giá là 16690000đ ạ."
khi mua hàng tại shop có cần mua bảo hiểm rơi vỡ hay không?,không cần nhất thiết để mua bảo hiểm rơi vỡ. Nhưng sẽ tốt hơn nếu quý khách mua cho thiết bị của mình 1 bảo hiểm rơi vỡ nếu không may thiết bị có rơi vỡ ảnh hưởng đến hệ thống của máy.
Apple Vision pro đã có mặt tại cửa hàng chưa?,"hiện tại Apple Vision pro chưa về hàng trên hệ thống của shop ạ, thời gian về hàng ướt tính là vào tháng 9."
giá bán dự kiến của Iphone 15 tại các hệ thống của shop?,giá bán dự kiến của Iphone 15 tại hệ thống của shop ướt tính khoảng 20990000đ ạ.
kích thước màn hình của Samsung S22 5g 128gb là bao nhiêu?,"kích thước màn hình của sản phẩm Samsung Galaxy S22 5g 128gb là 6,1 inch ạ."
có bao nhiêu màu sắc trên sản phẩm Samsung S22 5g?,"có ba màu sắc trên sản phẩm Samsung S22 5g đó là màu tím, xanh, và đen."
củ sạc nhanh Samsung 25W type-C đang có giá bao nhiêu?,củ sạc nhanh Samsung 25W type-C đang có giá là 390000đ ạ
có bao nhiêu màu sắc trên Iphone 13 phiên bản 128gb?,"sản phẩm Iphone 13 phiên bản 128gb hiện tại đang có 6 màu sắc, đó là màu hồng, trắng, đen, xanh lá, đỏ, xanh da trời."
cấu hình của Iphone 13 phiên bản 128gb?,"Iphone 13 phiên bản 128gb được trang bị chip A15 bionic, 128gb bộ nhớ trong, màn hình 6,1 inch, 2 camera sau và 1 camera trước và độ phân giải mỗi camera là 12,0MP."
sản phẩm Iphone 12 phiên bản 64gb đang có giá bao nhiêu?,Iphone 12 64gb đang có giá 14790000đ
sản phẩm Iphone 12 có eSim không?,sản phẩm Iphone 12 có hỗ trợ eSim ạ.
chuẩn IP68 là gì?,"Chuẩn IP68 trên thông số của những chiếc smartphone cho ta biết được rằng những chiếc điện thoại đó được thiết kế để có khả năng chống lại bụi ở mức 6, mức cao nhất và có thể hoạt động bình thường trong môi trường nước ở độ sâu lên đến 1 mét với áp lực nước nhất định."
sản phẩm Iphone 12 có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Iphone 12 không trang bị chuẩn kháng nước IP68."
sản phẩm Iphone 13 có trang bị chuẩn IP68 không?,"có ạ, sản phẩm Iphone 12 có trang bị chuẩn kháng nước IP68."
hãy cho tôi thông tin khuyên mãi về các sản phẩm của Oppo?,các sản phẩm của Oppo đang được giảm giá từ 3 đến 5% tùy vào sản phẩm đang có mặt tại shop ạ.
sản phẩm Oppo A78 phiên bản 8gb ram đang có giá bao nhiêu?,Oppo A78 phiên bản 8gb ram đang có giá 6690000đ tại tất cả hệ thống của shop ạ.
Asus Rog Ally hiện tại đã về hàng chưa?,"hiện tại sản phẩm Asus Rog Ally chưa về hàng, nhưng hệ thống shop đang mở khuyến mãi đặt trước cho sản phẩm này ạ."
laptop Asus ROG Zephyrus G14 phiên bản r7 5800hs đang có giá bao nhiêu?,sản phẩm hiện tại đang có giá là 22990000đ ạ.
card đồ họa Rtx 3070 hiện tại đang có giá bao nhiêu?,"xin lỗi quý khách, shop không có kinh doanh mặt hàng này ạ."
điện thoại Asus ROG Gaming Phone 6 hiện tại đang có giá bao nhiêu? hiện tại sản phẩm Asus ROG Gaming Phone 6 đang có giá 14000000đ ạ.,
giá của sản phẩm Apple Vision pro khi về shop là bao nhiêu?,"khi về Việt Nam, giá của sản phẩm Apple Vision pro có giá khoảng 100000000đ ạ."
màn hình ASUS VA27EHE 27 inch có giá bán là bao nhiêu?,sản phẩm hiện tại đang có giá là 3200000đ ạ.
tần số quét của sản phẩm ASUS VA27EHE 27 inch?,tần số quét ASUS VA27EHE 27 inch là 75Hz ạ.
mainboard Asus ROG Strix B560-F là bao nhiêu?,sản phẩm Asus ROG Strix B560-F đang có giá 4600000đ ạ.
card đồ họa Asus TUF GTX-1650 còn hàng không?,sản phẩm đang còn hàng với giá bán là 4390000đ ạ.
Vram của Asus TUF GTX-1650 là bao nhiêu?,Asus TUF GTX-1650 có Vram là 4 GB GDDR6 ạ.
ổ cứng HDD WD Blue 1 TB SATA 3 là bao nhiêu?,sản phẩm có giá 990000đ và hiện tại đang hết hàng ạ.
sản phẩm CPU Intel Core i5-10400F có giá là bao nhiêu?,hiện tại sản phẩm đang có giá là 2790000đ ạ.
CPU Intel Core i5-10400F cache là bao nhiêu?,có cache 12MB ạ.
thời gian bảo hành của sản phẩm CPU Intel Core i5-10400F là bao lâu?,sản phẩm bảo hành 12 tháng ạ.
Con i5 10400f còn không ạ?,"dạ CPU Intel Core i5-10400F còn hàng trên hệ thống ạ. để được tư vấn cụ thể hơn về sản phẩm và CTKM,bạn vui lòng để lại SDT, shop xin phép chuyển thông tin sang bộ phận tư vấn hỗ trợ mình nhanh nhất.hoặc có thể liên hệ trực tiếp tổng đài miễn phí 18006601. Thân mến!"
màn hình Xiaomi Mi Desktop Monitor 27 còn hàng tại shop ở Bình Tân không?,sản phẩm hiện tại đã hết hàng tại shop ở Bình Tân ạ.
điện thoại Iphone 14 có bao nhiêu dung lượng bộ nhớ trong?,điện thoại Iphone 14 có 128gb bộ nhớ trong ạ.
độ phân giải camera của Iphone 13 là bao nhiêu?,độ phân giải camera của Iphone 13 là 12MP
Iphone 13 được trang bị chip nào?,Iphone 13 được trang bị A15 bionic cực kì mạng mẽ.
sản phẩm iPhone 15 Pro Max 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 15 Pro Max 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy S22 5G 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy S22 5G 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO Reno8 T 4G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO Reno8 T 4G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Honor X8A 8GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Honor X8A 8GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A05s 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A05s 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO Reno10 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO Reno10 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy Z Flip4 5G 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy Z Flip4 5G 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A34 5G  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A34 5G  không trang bị chuẩn kháng nước IP68."
sản phẩm realme C55 6GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm realme C55 6GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A58 6GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A58 6GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy Z Flip5 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy Z Flip5 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi 13 Lite 8GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi 13 Lite 8GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A55 4GB-64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A55 4GB-64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A17k 3GB-64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A17k 3GB-64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A14 4G  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A14 4G  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A04  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A04  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi Redmi 12C 4GB - 64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi Redmi 12C 4GB - 64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi Redmi 10A 3GB-64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi Redmi 10A 3GB-64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm realme C51 4GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm realme C51 4GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Honor X7A 6GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Honor X7A 6GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Honor X6A 4GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Honor X6A 4GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Asus ROG Phone 7 16GB-512GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Asus ROG Phone 7 16GB-512GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Asus ROG Phone 6 12GB-256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Asus ROG Phone 6 12GB-256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Vivo Y22s 8GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Vivo Y22s 8GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Vivo Y16 4GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Vivo Y16 4GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy Z Fold4 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy Z Fold4 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 12 64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 12 64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 11 64GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 11 64GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A54 5G 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A54 5G 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A53 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A53 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A78 8GB-256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A78 8GB-256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A77s 8GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A77s 8GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A14 5G  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A14 5G  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi Redmi Note 11 4GB - 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi Redmi Note 11 4GB - 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO A57 4GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO A57 4GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi Redmi 10 2022 4GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi Redmi 10 2022 4GB-128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy A04s  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy A04s  không trang bị chuẩn kháng nước IP68."
sản phẩm Vivo Y15s 3GB - 32GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Vivo Y15s 3GB - 32GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy Z Fold5 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy Z Fold5 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 15 Pro 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 15 Pro 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 14 Pro Max 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 14 Pro Max 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 15 Plus 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 15 Plus 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 14 Pro 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 14 Pro 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 15 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 15 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 14 Plus 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 14 Plus 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy S23 Plus 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy S23 Plus 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm OPPO Find N2 Flip  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm OPPO Find N2 Flip  không trang bị chuẩn kháng nước IP68."
sản phẩm Asus ROG 6 DIABLO 16GB-512GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Asus ROG 6 DIABLO 16GB-512GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy S23 5G 256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy S23 5G 256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 14 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 14 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm iPhone 13 128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm iPhone 13 128GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Samsung Galaxy Z Flip4 5G 256GB Bespoke Edition  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Samsung Galaxy Z Flip4 5G 256GB Bespoke Edition  không trang bị chuẩn kháng nước IP68."
sản phẩm Xiaomi 13T 12GB-256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Xiaomi 13T 12GB-256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm realme 11 Pro 5G 8GB-256GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm realme 11 Pro 5G 8GB-256GB  không trang bị chuẩn kháng nước IP68."
sản phẩm Vivo V25 Pro 5G 8GB-128GB  có trang bị chuẩn IP68 không?,"không ạ, sản phẩm Vivo V25 Pro 5G 8GB-128GB  không trang bị chuẩn kháng nước IP68."
